aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip.st,SpkrType,tds_min.st,ocds_min.st,cds_min.st,ads_min.st,tds_mph.st,ocds_mph.st,cds_mph.st,ads_mph.st
1130,WAR,"NA_English","NA_English",English,M,9,8,2,1,Man,0,0.398,0.398,0.121,0,11.94,11.94,3.63
1130,WAR,"NA_English","NA_English",English,M,9,8,2,1,Woman,0,0.199,0.199,0.095,0,5.970000000000001,5.970000000000001,2.85
1130,WAR,"NA_English","NA_English",English,M,9,9,2,1,Child,0,0,0,0.087,0,0,0,2.61
1130,WAR,"NA_English","NA_English",English,M,9,9,2,1,Man,0,0,0,0.675,0,0,0,20.25
1130,WAR,"NA_English","NA_English",English,M,9,9,2,1,Woman,0,0,0,0.376,0,0,0,11.28
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-1,2.5,2,Child,0.071,0.026,0.097,0.111,1.704,0.624,2.3280000000000003,2.664
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-1,2.5,3,Man,0,0.031,0.031,0.914,0,0.744,0.744,21.936000000000003
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-1,2.5,3,Woman,0,0,0,0.625,0,0,0,15
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-2,2.5,1,Child,0.204,0.049,0.254,0.217,4.896,1.176,6.096,5.208
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-2,2.5,0,Man,0,0,0,0,0,0,0,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-2,2.5,2,Woman,0,0.064,0.064,0.706,0,1.536,1.536,16.944
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-3,2.5,1,Child,0,0,0,0.883,0,0,0,21.192
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-3,2.5,0,Man,0,0,0,0,0,0,0,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-3,2.5,4,Woman,0.035,0.061,0.096,1.318,0.8400000000000001,1.464,2.3040000000000003,31.632
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-4,2.5,2,Child,0,0.225,0.225,0.004,0,5.3999999999999995,5.3999999999999995,0.096
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-4,2.5,0,Man,0,0,0,0,0,0,0,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-4,2.5,3,Woman,0.115,0.009,0.124,0.746,2.76,0.216,2.976,17.904
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-5,2.5,1,Child,0,0,0,0,0,0,0,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-5,2.5,1,Man,0,0,0,0.071,0,0,0,1.704
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-5,2.5,6,Woman,0,0,0,3.315,0,0,0,79.56
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-6,2.5,1,Child,0,0.355,0.355,0.076,0,8.52,8.52,1.824
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-6,2.5,1,Man,0,0,0,0.05,0,0,0,1.2
